user_id,house,day_of_month,day_of_week,is_weekend,month,day,hour,minute,hour_sin,hour_cos
0,0,19,4,0,4,19,17,33,-0.9659258262890683,-0.25881904510252063
0,0,20,5,1,4,20,8,44,0.8660254037844387,-0.4999999999999998
0,0,20,5,1,4,20,12,43,1.2246467991473532e-16,-1.0
0,0,20,5,1,4,20,17,30,-0.9659258262890683,-0.25881904510252063
0,0,21,6,1,4,21,8,40,0.8660254037844387,-0.4999999999999998
0,0,21,6,1,4,21,12,42,1.2246467991473532e-16,-1.0
0,0,22,0,0,4,22,8,45,0.8660254037844387,-0.4999999999999998
0,0,22,0,0,4,22,12,32,1.2246467991473532e-16,-1.0
0,0,19,4,0,4,19,8,32,0.8660254037844387,-0.4999999999999998
0,0,19,4,0,4,19,12,37,1.2246467991473532e-16,-1.0
0,0,22,0,0,4,22,17,30,-0.9659258262890683,-0.25881904510252063
0,0,23,1,0,4,23,8,54,0.8660254037844387,-0.4999999999999998
0,0,23,1,0,4,23,14,38,-0.4999999999999997,-0.8660254037844388
0,0,23,1,0,4,23,17,40,-0.9659258262890683,-0.25881904510252063
0,0,24,2,0,4,24,8,55,0.8660254037844387,-0.4999999999999998
0,0,24,2,0,4,24,12,28,1.2246467991473532e-16,-1.0
0,0,24,2,0,4,24,17,45,-0.9659258262890683,-0.25881904510252063
0,0,25,3,0,4,25,8,43,0.8660254037844387,-0.4999999999999998
0,0,25,3,0,4,25,12,51,1.2246467991473532e-16,-1.0
0,0,25,3,0,4,25,17,43,-0.9659258262890683,-0.25881904510252063
0,0,26,4,0,4,26,14,13,-0.4999999999999997,-0.8660254037844388
0,0,27,5,1,4,27,0,0,0.0,1.0
0,0,29,0,0,4,29,8,57,0.8660254037844387,-0.4999999999999998
0,0,29,0,0,4,29,12,50,1.2246467991473532e-16,-1.0
0,0,29,0,0,4,29,17,44,-0.9659258262890683,-0.25881904510252063
0,0,30,1,0,4,30,8,53,0.8660254037844387,-0.4999999999999998
0,0,30,1,0,4,30,12,47,1.2246467991473532e-16,-1.0
0,0,30,1,0,4,30,17,44,-0.9659258262890683,-0.25881904510252063
0,0,1,2,0,5,1,8,44,0.8660254037844387,-0.4999999999999998
0,0,1,2,0,5,1,12,48,1.2246467991473532e-16,-1.0
0,0,1,2,0,5,1,17,50,-0.9659258262890683,-0.25881904510252063
0,0,2,3,0,5,2,8,51,0.8660254037844387,-0.4999999999999998
0,0,2,3,0,5,2,12,53,1.2246467991473532e-16,-1.0
0,0,2,3,0,5,2,17,46,-0.9659258262890683,-0.25881904510252063
0,0,3,4,0,5,3,14,16,-0.4999999999999997,-0.8660254037844388
0,0,3,4,0,5,3,14,16,-0.4999999999999997,-0.8660254037844388
0,0,6,0,0,5,6,12,46,1.2246467991473532e-16,-1.0
0,0,6,0,0,5,6,10,19,0.49999999999999994,-0.8660254037844387
0,0,6,0,0,5,6,10,19,0.49999999999999994,-0.8660254037844387
0,0,6,0,0,5,6,17,46,-0.9659258262890683,-0.25881904510252063
0,0,7,1,0,5,7,8,58,0.8660254037844387,-0.4999999999999998
0,0,7,1,0,5,7,12,46,1.2246467991473532e-16,-1.0
0,0,7,1,0,5,7,12,46,1.2246467991473532e-16,-1.0
0,0,7,1,0,5,7,17,52,-0.9659258262890683,-0.25881904510252063
0,0,8,2,0,5,8,8,59,0.8660254037844387,-0.4999999999999998
0,0,8,2,0,5,8,12,52,1.2246467991473532e-16,-1.0
0,0,8,2,0,5,8,17,52,-0.9659258262890683,-0.25881904510252063
0,0,9,3,0,5,9,8,45,0.8660254037844387,-0.4999999999999998
0,0,9,3,0,5,9,12,50,1.2246467991473532e-16,-1.0
0,0,9,3,0,5,9,17,44,-0.9659258262890683,-0.25881904510252063
