user_id,house,count
0cb94071-a8ec-4885-8316-e0e4fbebec32,2,13
0cb94071-a8ec-4885-8316-e0e4fbebec32,3,13
0cb94071-a8ec-4885-8316-e0e4fbebec32,4,11
0cb94071-a8ec-4885-8316-e0e4fbebec32,5,8
0cb94071-a8ec-4885-8316-e0e4fbebec32,1,7
0cb94071-a8ec-4885-8316-e0e4fbebec32,0,6
0d9ff778-c1fe-4966-baa9-e35783893f39,1,29
0d9ff778-c1fe-4966-baa9-e35783893f39,0,13
0d9ff778-c1fe-4966-baa9-e35783893f39,2,12
0d9ff778-c1fe-4966-baa9-e35783893f39,5,6
0d9ff778-c1fe-4966-baa9-e35783893f39,3,4
0d9ff778-c1fe-4966-baa9-e35783893f39,4,4
12584309-4699-485d-9f5b-a57ebfc4283a,4,23
12584309-4699-485d-9f5b-a57ebfc4283a,0,13
12584309-4699-485d-9f5b-a57ebfc4283a,1,12
12584309-4699-485d-9f5b-a57ebfc4283a,5,9
12584309-4699-485d-9f5b-a57ebfc4283a,2,5
12584309-4699-485d-9f5b-a57ebfc4283a,3,5
1a024edc-e397-4508-958e-7051ae278650,3,22
1a024edc-e397-4508-958e-7051ae278650,0,11
1a024edc-e397-4508-958e-7051ae278650,5,10
1a024edc-e397-4508-958e-7051ae278650,4,9
1a024edc-e397-4508-958e-7051ae278650,1,8
1a024edc-e397-4508-958e-7051ae278650,2,7
1bedb648-5a50-4680-a09b-27240759f9a0,2,24
1bedb648-5a50-4680-a09b-27240759f9a0,0,13
1bedb648-5a50-4680-a09b-27240759f9a0,3,10
1bedb648-5a50-4680-a09b-27240759f9a0,5,10
1bedb648-5a50-4680-a09b-27240759f9a0,4,7
1bedb648-5a50-4680-a09b-27240759f9a0,1,4
1d4297fd-0875-41c6-bbdd-6c7d22c2411f,4,29
1d4297fd-0875-41c6-bbdd-6c7d22c2411f,5,11
1d4297fd-0875-41c6-bbdd-6c7d22c2411f,0,9
1d4297fd-0875-41c6-bbdd-6c7d22c2411f,2,7
1d4297fd-0875-41c6-bbdd-6c7d22c2411f,3,5
1d4297fd-0875-41c6-bbdd-6c7d22c2411f,1,3
1e103917-1d29-424d-b5e1-924e0cdcd6dc,3,18
1e103917-1d29-424d-b5e1-924e0cdcd6dc,0,12
1e103917-1d29-424d-b5e1-924e0cdcd6dc,2,12
1e103917-1d29-424d-b5e1-924e0cdcd6dc,4,11
1e103917-1d29-424d-b5e1-924e0cdcd6dc,5,10
1e103917-1d29-424d-b5e1-924e0cdcd6dc,1,2
2e333d17-d22d-42c6-b7e2-57bd681b1415,5,17
2e333d17-d22d-42c6-b7e2-57bd681b1415,3,14
2e333d17-d22d-42c6-b7e2-57bd681b1415,0,13
2e333d17-d22d-42c6-b7e2-57bd681b1415,4,12
2e333d17-d22d-42c6-b7e2-57bd681b1415,2,6
2e333d17-d22d-42c6-b7e2-57bd681b1415,1,4
2e958eb1-0ca7-444a-a150-6e1f2e74735b,3,20
2e958eb1-0ca7-444a-a150-6e1f2e74735b,5,15
2e958eb1-0ca7-444a-a150-6e1f2e74735b,0,12
2e958eb1-0ca7-444a-a150-6e1f2e74735b,1,7
2e958eb1-0ca7-444a-a150-6e1f2e74735b,2,7
2e958eb1-0ca7-444a-a150-6e1f2e74735b,4,7
301ea4b1-4d7d-4164-81d4-9d12fb0c16f3,2,24
301ea4b1-4d7d-4164-81d4-9d12fb0c16f3,4,14
301ea4b1-4d7d-4164-81d4-9d12fb0c16f3,0,8
301ea4b1-4d7d-4164-81d4-9d12fb0c16f3,1,8
301ea4b1-4d7d-4164-81d4-9d12fb0c16f3,3,7
301ea4b1-4d7d-4164-81d4-9d12fb0c16f3,5,6
31f1dfb3-1ed4-4fed-9ef0-952b9a70b3f6,3,20
31f1dfb3-1ed4-4fed-9ef0-952b9a70b3f6,2,10
31f1dfb3-1ed4-4fed-9ef0-952b9a70b3f6,0,9
31f1dfb3-1ed4-4fed-9ef0-952b9a70b3f6,4,9
31f1dfb3-1ed4-4fed-9ef0-952b9a70b3f6,5,5
31f1dfb3-1ed4-4fed-9ef0-952b9a70b3f6,1,2
3224a678-3fef-47ae-94e5-3250cec710f9,3,18
3224a678-3fef-47ae-94e5-3250cec710f9,1,14
3224a678-3fef-47ae-94e5-3250cec710f9,0,13
3224a678-3fef-47ae-94e5-3250cec710f9,4,9
3224a678-3fef-47ae-94e5-3250cec710f9,5,5
3224a678-3fef-47ae-94e5-3250cec710f9,2,3
337efdeb-7299-4e86-9db0-3b7bad905ca4,1,28
337efdeb-7299-4e86-9db0-3b7bad905ca4,4,12
337efdeb-7299-4e86-9db0-3b7bad905ca4,5,10
337efdeb-7299-4e86-9db0-3b7bad905ca4,0,7
337efdeb-7299-4e86-9db0-3b7bad905ca4,2,6
