artifact_type,renderer_template_id,source_fact_table,field
bank_statement,bank_statement_bbl,DIM_BANK_ACCOUNT,account_id
bank_statement,bank_statement_bbl,FACT_BANK_TRANSACTION,account_id
bank_statement,bank_statement_bbl,DIM_BANK_ACCOUNT,account_number
bank_statement,bank_statement_bbl,DIM_BANK_ACCOUNT,account_role
bank_statement,bank_statement_bbl,FACT_BANK_TRANSACTION,amount_thb
bank_statement,bank_statement_bbl,FACT_BANK_TRANSACTION,balance_after_thb
bank_statement,bank_statement_bbl,DIM_BANK_ACCOUNT,bank
bank_statement,bank_statement_bbl,FACT_BANK_TRANSACTION,business_event_date
bank_statement,bank_statement_bbl,DIM_BANK_ACCOUNT,currency
bank_statement,bank_statement_bbl,FACT_BANK_TRANSACTION,description
bank_statement,bank_statement_bbl,FACT_BANK_TRANSACTION,transaction_type
bank_statement,bank_statement_kbank,DIM_BANK_ACCOUNT,account_id
bank_statement,bank_statement_kbank,FACT_BANK_TRANSACTION,account_id
bank_statement,bank_statement_kbank,DIM_BANK_ACCOUNT,account_number
bank_statement,bank_statement_kbank,DIM_BANK_ACCOUNT,account_role
bank_statement,bank_statement_kbank,FACT_BANK_TRANSACTION,amount_thb
bank_statement,bank_statement_kbank,FACT_BANK_TRANSACTION,balance_after_thb
bank_statement,bank_statement_kbank,DIM_BANK_ACCOUNT,bank
bank_statement,bank_statement_kbank,FACT_BANK_TRANSACTION,business_event_date
bank_statement,bank_statement_kbank,DIM_BANK_ACCOUNT,currency
bank_statement,bank_statement_kbank,FACT_BANK_TRANSACTION,description
bank_statement,bank_statement_kbank,FACT_BANK_TRANSACTION,transaction_type
bank_statement,bank_statement_scb,DIM_BANK_ACCOUNT,account_id
bank_statement,bank_statement_scb,FACT_BANK_TRANSACTION,account_id
bank_statement,bank_statement_scb,DIM_BANK_ACCOUNT,account_number
bank_statement,bank_statement_scb,DIM_BANK_ACCOUNT,account_role
bank_statement,bank_statement_scb,FACT_BANK_TRANSACTION,amount_thb
bank_statement,bank_statement_scb,FACT_BANK_TRANSACTION,balance_after_thb
bank_statement,bank_statement_scb,DIM_BANK_ACCOUNT,bank
bank_statement,bank_statement_scb,FACT_BANK_TRANSACTION,business_event_date
bank_statement,bank_statement_scb,DIM_BANK_ACCOUNT,currency
bank_statement,bank_statement_scb,FACT_BANK_TRANSACTION,description
bank_statement,bank_statement_scb,FACT_BANK_TRANSACTION,transaction_type
e7_banner,e7_banner_modern_flat,DIM_PROMO_CAMPAIGN,campaign_id
e7_banner,e7_banner_modern_flat,DIM_PROMO_CAMPAIGN,description_th
e7_banner,e7_banner_modern_flat,DIM_PROMO_CAMPAIGN,end_timestamp
e7_banner,e7_banner_modern_flat,DIM_PROMO_CAMPAIGN,scope_filter
e7_banner,e7_banner_modern_flat,DIM_PROMO_CAMPAIGN,start_timestamp
receipt,receipt_thermal,FACT_SALES,basket_total_thb
receipt,receipt_thermal,FACT_SALES,branch_code
receipt,receipt_thermal,FACT_SALES,business_event_date
receipt,receipt_thermal,FACT_SALES,discount_total_thb
receipt,receipt_thermal,FACT_SALES,net_total_thb
receipt,receipt_thermal,FACT_SALES,payment_method
receipt,receipt_thermal,FACT_SALES,txn_id
t2_doc,t2_doc_audit_report,T2_DOC_INVENTORY,body_source
t2_doc,t2_doc_audit_report,T2_DOC_INVENTORY,doc_id
t2_doc,t2_doc_audit_report,T2_DOC_INVENTORY,doc_kind
t2_doc,t2_doc_audit_report,T2_DOC_INVENTORY,issue_date
t2_doc,t2_doc_audit_report,T2_DOC_INVENTORY,template_name
t2_doc,t2_doc_email_discrete,T2_DOC_INVENTORY,body_source
t2_doc,t2_doc_email_discrete,T2_DOC_INVENTORY,doc_id
t2_doc,t2_doc_email_discrete,T2_DOC_INVENTORY,doc_kind
t2_doc,t2_doc_email_discrete,T2_DOC_INVENTORY,issue_date
t2_doc,t2_doc_email_discrete,T2_DOC_INVENTORY,template_name
t2_doc,t2_doc_memo_announcement,T2_DOC_INVENTORY,body_source
t2_doc,t2_doc_memo_announcement,T2_DOC_INVENTORY,doc_id
t2_doc,t2_doc_memo_announcement,T2_DOC_INVENTORY,doc_kind
t2_doc,t2_doc_memo_announcement,T2_DOC_INVENTORY,issue_date
t2_doc,t2_doc_memo_announcement,T2_DOC_INVENTORY,template_name
t2_doc,t2_doc_policy_doc,DIM_POLICY_VERSION,effective_date
t2_doc,t2_doc_policy_doc,DIM_POLICY_VERSION,policy_class
t2_doc,t2_doc_policy_doc,DIM_POLICY_VERSION,policy_doc_filename
t2_doc,t2_doc_policy_doc,DIM_POLICY_VERSION,policy_variable
t2_doc,t2_doc_policy_doc,DIM_POLICY_VERSION,policy_version_id
t2_doc,t2_doc_policy_doc,DIM_POLICY_VERSION,scope_filter
t2_doc,t2_doc_training_material,T2_DOC_INVENTORY,body_source
t2_doc,t2_doc_training_material,T2_DOC_INVENTORY,doc_id
t2_doc,t2_doc_training_material,T2_DOC_INVENTORY,doc_kind
t2_doc,t2_doc_training_material,T2_DOC_INVENTORY,issue_date
t2_doc,t2_doc_training_material,T2_DOC_INVENTORY,template_name
t2_doc,t2_doc_vendor_contract,DIM_VENDOR_CONTRACT_VERSION,contract_pdf_filename
t2_doc,t2_doc_vendor_contract,DIM_VENDOR_CONTRACT_VERSION,contract_version_id
t2_doc,t2_doc_vendor_contract,DIM_VENDOR_CONTRACT_VERSION,effective_date
t2_doc,t2_doc_vendor_contract,DIM_VENDOR_CONTRACT_VERSION,vendor_id
t2_doc,t2_doc_vendor_contract,DIM_VENDOR_CONTRACT_VERSION,version_number
t3_doc,t3_doc_lease,DIM_BRANCH,branch_code
t3_doc,t3_doc_lease,DIM_BRANCH,branch_type
t3_doc,t3_doc_lease,DIM_BRANCH,name_en
t3_doc,t3_doc_lease,DIM_BRANCH,name_th
t3_doc,t3_doc_termination,DIM_VENDOR,category
t3_doc,t3_doc_termination,DIM_VENDOR,name_en
t3_doc,t3_doc_termination,DIM_VENDOR,name_th
t3_doc,t3_doc_termination,DIM_VENDOR,payment_terms
t3_doc,t3_doc_termination,DIM_VENDOR,role
t3_doc,t3_doc_termination,DIM_VENDOR,vendor_id
vendor_invoice,vendor_invoice_a4,FACT_VENDOR_PAYMENT,business_event_date
vendor_invoice,vendor_invoice_a4,FACT_VENDOR_PAYMENT,invoice_period_end
vendor_invoice,vendor_invoice_a4,FACT_VENDOR_PAYMENT,invoice_period_start
vendor_invoice,vendor_invoice_a4,FACT_VENDOR_PAYMENT,paid_amount_thb
vendor_invoice,vendor_invoice_a4,FACT_VENDOR_PAYMENT,payment_id
vendor_invoice,vendor_invoice_a4,FACT_VENDOR_PAYMENT,vendor_id
