store_id,date,promo_product_count,promo_campaign_count,max_discount,mean_discount
19,2024-01-16,60,245,25,0.5102040816326531
19,2024-01-19,60,245,25,0.5102040816326531
19,2024-01-17,60,245,25,0.5102040816326531
19,2024-01-18,60,245,25,0.5102040816326531
3,2023-05-20,60,195,15,4.230769230769231
3,2023-05-21,60,195,15,4.230769230769231
3,2023-05-22,60,195,15,4.230769230769231
16,2023-04-05,60,193,15,8.782383419689118
2,2024-01-03,60,185,15,0.40540540540540543
2,2024-01-04,60,185,15,0.40540540540540543
2,2024-01-06,60,185,15,0.40540540540540543
2,2024-01-05,60,185,15,0.40540540540540543
19,2024-01-20,60,185,25,0.6756756756756757
19,2024-01-15,60,185,25,0.6756756756756757
19,2024-01-21,60,185,25,0.6756756756756757
2,2024-01-07,60,185,15,0.40540540540540543
16,2023-04-04,60,180,15,8.333333333333334
16,2023-04-03,60,180,15,8.333333333333334
6,2023-04-20,60,160,50,8.1875
6,2023-04-22,60,160,50,8.1875
6,2023-04-21,60,160,50,8.1875
2,2024-03-10,60,148,50,9.864864864864865
2,2024-03-11,60,148,50,9.864864864864865
5,2024-10-31,60,140,30,10.714285714285714
5,2024-10-30,60,140,30,10.714285714285714
5,2024-10-28,60,140,30,10.714285714285714
5,2024-10-29,60,140,30,10.714285714285714
2,2024-03-14,60,138,20,6.956521739130435
2,2024-03-12,60,138,20,6.956521739130435
2,2024-03-13,60,138,20,6.956521739130435
2,2024-03-15,60,138,20,6.956521739130435
3,2023-09-21,60,138,20,9.130434782608695
2,2024-03-16,60,138,20,6.956521739130435
3,2023-09-20,60,138,20,9.130434782608695
3,2023-09-22,60,138,20,9.130434782608695
20,2023-01-24,60,137,50,6.204379562043796
20,2023-01-25,60,137,50,6.204379562043796
20,2023-01-26,60,137,50,6.204379562043796
12,2024-11-30,60,136,15,6.176470588235294
12,2024-12-01,60,136,15,6.176470588235294
12,2024-12-02,60,136,15,6.176470588235294
3,2023-05-19,60,135,15,1.6666666666666667
3,2023-05-23,60,135,15,6.111111111111111
3,2023-05-18,60,135,15,1.6666666666666667
8,2023-08-09,60,134,35,8.134328358208956
8,2023-08-10,60,134,35,8.134328358208956
8,2023-08-08,60,134,35,8.134328358208956
1,2023-07-07,60,133,25,2.443609022556391
15,2023-12-13,60,133,50,4.887218045112782
15,2023-12-11,60,133,50,4.887218045112782
15,2023-12-09,60,133,50,4.887218045112782
15,2023-12-12,60,133,50,4.887218045112782
15,2023-12-10,60,133,50,4.887218045112782
16,2023-04-06,60,133,15,5.977443609022556
1,2023-07-06,60,133,25,2.443609022556391
16,2023-04-07,60,133,15,5.977443609022556
1,2023-01-28,60,132,50,15.909090909090908
18,2024-12-03,60,132,25,8.636363636363637
18,2024-12-02,60,132,25,8.636363636363637
18,2024-12-05,60,132,25,8.636363636363637
18,2024-12-04,60,132,25,8.636363636363637
15,2023-09-03,60,131,20,6.259541984732825
8,2023-10-09,60,129,35,2.441860465116279
15,2024-11-04,60,129,50,22.093023255813954
15,2024-11-05,60,129,50,22.093023255813954
8,2023-10-13,60,129,35,2.441860465116279
8,2023-10-12,60,129,35,2.441860465116279
8,2023-10-10,60,129,35,2.441860465116279
15,2024-11-06,60,129,50,22.093023255813954
8,2023-10-11,60,129,35,2.441860465116279
19,2023-09-15,60,126,25,10.714285714285714
19,2023-09-17,60,126,25,10.714285714285714
19,2023-09-16,60,126,25,10.714285714285714
2,2024-01-08,60,125,15,0.6
19,2024-01-23,60,125,25,1.0
19,2024-01-14,60,125,25,1.0
3,2024-07-31,60,125,30,1.2
3,2024-07-30,60,125,30,1.2
19,2024-01-22,60,125,25,1.0
