promo_id,duration_days,discount_pct,promo_type
1,14,30,ชุดคู่ลด
2,14,30,ชุดคู่ลด
3,14,30,ชุดคู่ลด
4,14,30,ชุดคู่ลด
5,14,30,ชุดคู่ลด
6,6,10,สมาชิกใหม่
7,6,10,สมาชิกใหม่
8,6,10,สมาชิกใหม่
9,6,10,สมาชิกใหม่
10,6,10,สมาชิกใหม่
11,6,10,สมาชิกใหม่
12,6,10,สมาชิกใหม่
13,6,10,สมาชิกใหม่
14,6,10,สมาชิกใหม่
15,6,10,สมาชิกใหม่
16,6,10,สมาชิกใหม่
17,6,10,สมาชิกใหม่
18,6,10,สมาชิกใหม่
19,6,10,สมาชิกใหม่
20,6,10,สมาชิกใหม่
21,6,10,สมาชิกใหม่
22,6,10,สมาชิกใหม่
23,6,10,สมาชิกใหม่
24,6,10,สมาชิกใหม่
25,6,10,สมาชิกใหม่
26,6,10,สมาชิกใหม่
27,6,10,สมาชิกใหม่
28,6,10,สมาชิกใหม่
29,6,10,สมาชิกใหม่
30,6,10,สมาชิกใหม่
31,6,10,สมาชิกใหม่
32,6,10,สมาชิกใหม่
33,6,10,สมาชิกใหม่
34,6,10,สมาชิกใหม่
35,6,10,สมาชิกใหม่
36,6,10,สมาชิกใหม่
37,6,10,สมาชิกใหม่
38,6,10,สมาชิกใหม่
39,6,10,สมาชิกใหม่
40,6,10,สมาชิกใหม่
41,6,10,สมาชิกใหม่
42,6,10,สมาชิกใหม่
43,6,10,สมาชิกใหม่
44,6,10,สมาชิกใหม่
45,6,10,สมาชิกใหม่
46,6,10,สมาชิกใหม่
47,6,10,สมาชิกใหม่
48,6,10,สมาชิกใหม่
49,6,10,สมาชิกใหม่
50,6,10,สมาชิกใหม่
51,6,10,สมาชิกใหม่
52,6,10,สมาชิกใหม่
53,6,10,สมาชิกใหม่
54,6,10,สมาชิกใหม่
55,6,10,สมาชิกใหม่
56,6,10,สมาชิกใหม่
57,6,10,สมาชิกใหม่
58,6,10,สมาชิกใหม่
59,6,10,สมาชิกใหม่
60,6,10,สมาชิกใหม่
61,6,10,สมาชิกใหม่
62,6,10,สมาชิกใหม่
63,6,10,สมาชิกใหม่
64,6,10,สมาชิกใหม่
65,6,10,สมาชิกใหม่
66,5,15,ชุดคู่ลด
67,5,15,ชุดคู่ลด
68,14,10,ลดราคา
69,14,10,ลดราคา
70,14,10,ลดราคา
71,14,10,ลดราคา
72,14,10,ลดราคา
73,14,10,ลดราคา
74,14,10,ลดราคา
75,14,10,ลดราคา
76,14,10,ลดราคา
77,14,10,ลดราคา
78,14,10,ลดราคา
79,14,10,ลดราคา
80,14,10,ลดราคา
81,14,10,ลดราคา
82,14,10,ลดราคา
83,14,10,ลดราคา
84,7,50,ซื้อ1แถม1
85,7,50,ซื้อ1แถม1
86,7,50,ซื้อ1แถม1
87,7,50,ซื้อ1แถม1
88,7,50,ซื้อ1แถม1
89,7,50,ซื้อ1แถม1
90,7,50,ซื้อ1แถม1
91,7,50,ซื้อ1แถม1
92,7,50,ซื้อ1แถม1
93,7,50,ซื้อ1แถม1
94,7,50,ซื้อ1แถม1
95,7,50,ซื้อ1แถม1
96,7,50,ซื้อ1แถม1
97,7,50,ซื้อ1แถม1
98,7,50,ซื้อ1แถม1
99,4,0,แต้มx2
100,4,0,แต้มx2
101,4,0,แต้มx2
102,4,0,แต้มx2
103,4,0,แต้มx2
104,4,0,แต้มx2
105,4,0,แต้มx2
106,4,0,แต้มx2
107,4,0,แต้มx2
108,4,0,แต้มx2
109,4,0,แต้มx2
110,4,0,แต้มx2
111,4,0,แต้มx2
112,4,0,แต้มx2
113,4,0,แต้มx2
114,4,0,แต้มx2
115,4,0,แต้มx2
116,4,0,แต้มx2
117,4,0,แต้มx2
118,4,0,แต้มx2
119,4,0,แต้มx2
120,4,0,แต้มx2
121,4,0,แต้มx2
122,4,0,แต้มx2
123,4,0,แต้มx2
124,4,0,แต้มx2
125,4,0,แต้มx2
126,4,0,แต้มx2
127,4,0,แต้มx2
128,4,0,แต้มx2
129,4,0,แต้มx2
130,4,0,แต้มx2
131,4,0,แต้มx2
132,4,0,แต้มx2
133,4,0,แต้มx2
134,4,0,แต้มx2
135,4,0,แต้มx2
136,4,0,แต้มx2
137,4,0,แต้มx2
138,4,0,แต้มx2
139,4,0,แต้มx2
140,4,0,แต้มx2
141,4,0,แต้มx2
142,4,0,แต้มx2
143,4,0,แต้มx2
144,4,0,แต้มx2
145,4,0,แต้มx2
146,4,0,แต้มx2
147,4,0,แต้มx2
148,4,0,แต้มx2
149,4,0,แต้มx2
150,4,0,แต้มx2
151,4,0,แต้มx2
152,4,0,แต้มx2
153,4,0,แต้มx2
154,4,0,แต้มx2
155,4,0,แต้มx2
156,4,0,แต้มx2
157,4,0,แต้มx2
158,4,0,แต้มx2
159,4,25,ชุดคู่ลด
160,4,25,ชุดคู่ลด
161,4,25,ชุดคู่ลด
162,8,25,ลดราคา
163,8,25,ลดราคา
164,8,25,ลดราคา
165,8,25,ลดราคา
166,8,25,ลดราคา
167,8,25,ลดราคา
168,8,25,ลดราคา
169,8,25,ลดราคา
170,8,25,ลดราคา
171,8,25,ลดราคา
172,8,25,ลดราคา
173,8,25,ลดราคา
174,8,25,ลดราคา
175,8,25,ลดราคา
176,8,25,ลดราคา
177,8,25,ลดราคา
178,8,25,ลดราคา
179,8,25,ลดราคา
180,13,30,ชุดคู่ลด
181,13,30,ชุดคู่ลด
182,13,30,ชุดคู่ลด
183,13,30,ชุดคู่ลด
184,13,30,ชุดคู่ลด
185,13,30,ชุดคู่ลด
186,10,20,สมาชิกใหม่
187,10,20,สมาชิกใหม่
188,10,20,สมาชิกใหม่
189,10,20,สมาชิกใหม่
190,10,20,สมาชิกใหม่
191,10,20,สมาชิกใหม่
192,10,20,สมาชิกใหม่
193,10,20,สมาชิกใหม่
194,10,20,สมาชิกใหม่
195,10,20,สมาชิกใหม่
196,10,20,สมาชิกใหม่
197,10,20,สมาชิกใหม่
198,10,20,สมาชิกใหม่
199,10,20,สมาชิกใหม่
200,10,20,สมาชิกใหม่
201,10,20,สมาชิกใหม่
202,10,20,สมาชิกใหม่
203,10,20,สมาชิกใหม่
204,10,20,สมาชิกใหม่
205,10,20,สมาชิกใหม่
206,10,20,สมาชิกใหม่
207,10,20,สมาชิกใหม่
208,10,20,สมาชิกใหม่
209,10,20,สมาชิกใหม่
210,10,20,สมาชิกใหม่
211,10,20,สมาชิกใหม่
212,10,20,สมาชิกใหม่
213,10,20,สมาชิกใหม่
214,10,20,สมาชิกใหม่
215,10,20,สมาชิกใหม่
