store_id,category,zero_rate
1,Bakery,0.0
1,Chocolate & Milk,0.0
1,Coffee,0.0
1,Juice & Smoothie,0.0
1,Merchandise,0.0
1,Savory Bakery,0.0
1,Tea,0.0
2,Bakery,0.0
2,Chocolate & Milk,0.0
2,Coffee,0.0
2,Juice & Smoothie,0.0
2,Merchandise,0.0
2,Savory Bakery,0.0
2,Tea,0.0
3,Bakery,0.0
3,Chocolate & Milk,0.0
3,Coffee,0.0
3,Juice & Smoothie,0.0
3,Merchandise,0.0
3,Savory Bakery,0.0
3,Tea,0.0
4,Bakery,0.0
4,Chocolate & Milk,0.0
4,Coffee,0.0
4,Juice & Smoothie,0.0
4,Merchandise,0.0
4,Savory Bakery,0.0
4,Tea,0.0
5,Bakery,0.0
5,Chocolate & Milk,0.0
5,Coffee,0.0
5,Juice & Smoothie,0.0
5,Merchandise,0.0
5,Savory Bakery,0.0
5,Tea,0.0
6,Bakery,0.0
6,Chocolate & Milk,0.0
6,Coffee,0.0
6,Juice & Smoothie,0.0
6,Merchandise,0.0
6,Savory Bakery,0.0
6,Tea,0.0
7,Bakery,0.0
7,Chocolate & Milk,0.0
7,Coffee,0.0
7,Juice & Smoothie,0.0
7,Merchandise,0.0
7,Savory Bakery,0.0
7,Tea,0.0
8,Bakery,0.0
8,Chocolate & Milk,0.0
8,Coffee,0.0
8,Juice & Smoothie,0.0
8,Merchandise,0.0
8,Savory Bakery,0.0
8,Tea,0.0
9,Bakery,0.0
9,Chocolate & Milk,0.0
9,Coffee,0.0
9,Juice & Smoothie,0.0
9,Merchandise,0.0
9,Savory Bakery,0.0
9,Tea,0.0
10,Bakery,0.0
10,Chocolate & Milk,0.0
10,Coffee,0.0
10,Juice & Smoothie,0.0
10,Merchandise,0.0
10,Savory Bakery,0.0
10,Tea,0.0
11,Bakery,0.0
11,Chocolate & Milk,0.0
11,Coffee,0.0
11,Juice & Smoothie,0.0
11,Merchandise,0.0
11,Savory Bakery,0.0
11,Tea,0.0
12,Bakery,0.0
12,Chocolate & Milk,0.0
12,Coffee,0.0
12,Juice & Smoothie,0.0
12,Merchandise,0.0
12,Savory Bakery,0.0
12,Tea,0.0
13,Bakery,0.0
13,Chocolate & Milk,0.0
13,Coffee,0.0
13,Juice & Smoothie,0.0
13,Merchandise,0.0
13,Savory Bakery,0.0
13,Tea,0.0
14,Bakery,0.0
14,Chocolate & Milk,0.0
14,Coffee,0.0
14,Juice & Smoothie,0.0
14,Merchandise,0.0
14,Savory Bakery,0.0
14,Tea,0.0
15,Bakery,0.0
15,Chocolate & Milk,0.0
15,Coffee,0.0
15,Juice & Smoothie,0.0
15,Merchandise,0.0
15,Savory Bakery,0.0
15,Tea,0.0
16,Bakery,0.0
16,Chocolate & Milk,0.0
16,Coffee,0.0
16,Juice & Smoothie,0.0
16,Merchandise,0.0
16,Savory Bakery,0.0
16,Tea,0.0
17,Bakery,0.0
17,Chocolate & Milk,0.0
17,Coffee,0.0
17,Juice & Smoothie,0.0
17,Merchandise,0.0
17,Savory Bakery,0.0
17,Tea,0.0
18,Bakery,0.0
18,Chocolate & Milk,0.0
18,Coffee,0.0
18,Juice & Smoothie,0.0
18,Merchandise,0.0
18,Savory Bakery,0.0
18,Tea,0.0
19,Bakery,0.0
19,Chocolate & Milk,0.0
19,Coffee,0.0
19,Juice & Smoothie,0.0
19,Merchandise,0.0
19,Savory Bakery,0.0
19,Tea,0.0
20,Bakery,0.0
20,Chocolate & Milk,0.0
20,Coffee,0.0
20,Juice & Smoothie,0.0
20,Merchandise,0.0
20,Savory Bakery,0.0
20,Tea,0.0
