pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p,svm,omega,jerk,svm_dev
2026-05-27T23:30:20.918,513858,0.94,-0.22,-0.1,1.0,0.1,0.6,-1.8,17.7,24.4,101.122,34.63,0,0,0,0,0,NONE,51,262,0.970566844684,1.17046999107,0,0.0294331553159
2026-05-27T23:30:20.958,513897,0.96,-0.24,-0.1,1.0,1.5,1.3,-1.6,17.8,24.2,101.12,34.64,0,1,1,1,3,NONE,55,241,0.994585340733,2.22261107709,0.725237724294,0.00541465926749
2026-05-27T23:30:21.004,513948,0.97,-0.23,-0.11,-0.4,1.2,1.1,-1.3,18.5,25.8,101.123,34.65,0,1,1,1,3,NONE,53,221,1.00294566154,1.67630546142,0.339617805406,0.00294566153905
2026-05-27T23:30:21.060,514000,0.95,-0.22,-0.13,0.4,1.0,2.1,-1.2,17.8,24.1,101.118,34.65,0,1,1,1,3,NONE,47,262,0.983768265396,2.36008474424,0.576923076923,0.0162317346041
2026-05-27T23:30:21.105,514048,0.94,-0.22,-0.09,2.0,-1.6,2.0,-1.8,18.3,24.7,101.122,34.66,0,1,1,1,3,NONE,58,305,0.969587541174,3.24961536185,0.85898033867,0.0304124588259
2026-05-27T23:30:21.152,514096,0.95,-0.22,-0.11,0.5,-0.6,2.4,-1.7,18.1,24.0,101.121,34.66,0,1,0,1,2,NONE,41,290,0.981325634028,2.52388589282,0.465847495312,0.0186743659722
2026-05-27T23:30:21.196,514148,0.96,-0.21,-0.1,5.2,-1.4,2.4,-1.5,18.5,24.5,101.122,34.67,0,1,0,1,2,NONE,41,268,0.987775278087,5.89576118919,0.333086693763,0.0122247219129
2026-05-27T23:30:21.261,514200,0.95,-0.24,-0.09,4.2,-1.8,1.3,-1.2,18.5,25.6,101.126,34.67,0,1,0,1,2,NONE,50,281,0.983971544304,4.75078940809,0.637812459684,0.016028455696
2026-05-27T23:30:21.292,514246,0.95,-0.22,-0.08,2.9,-0.5,1.7,-1.2,18.5,23.4,101.122,34.68,0,1,0,1,2,NONE,57,315,0.978417088976,3.39852909359,0.486101734239,0.0215829110241
2026-05-27T23:30:21.358,514300,0.96,-0.22,-0.09,2.9,-1.6,1.5,-1.5,18.1,23.5,101.126,34.68,0,1,1,1,3,NONE,64,370,0.988989383158,3.63593179254,0.261891400439,0.0110106168416
2026-05-27T23:30:21.406,514346,0.95,-0.23,-0.08,4.0,-1.2,1.2,-0.9,18.2,24.6,101.123,34.69,0,1,1,1,3,NONE,79,387,0.980714025596,4.34511219648,0.376532784254,0.0192859744044
2026-05-27T23:30:21.454,514398,0.95,-0.22,-0.07,4.6,-1.1,1.2,-1.3,18.4,23.8,101.121,34.69,0,1,1,1,3,NONE,66,374,0.977650244208,4.8795491595,0.27196414661,0.022349755792
2026-05-27T23:30:21.499,514450,0.96,-0.23,-0.08,4.2,1.9,2.1,-0.8,18.1,24.0,101.124,34.7,0,1,1,1,3,NONE,60,295,0.990403957989,5.06557005677,0.333086693763,0.00959604201114
2026-05-27T23:30:21.551,514498,0.95,-0.23,-0.07,3.2,0.9,1.6,-0.9,18.1,24.3,101.12,34.69,0,1,0,1,2,NONE,51,318,0.979948978264,3.68917334914,0.294627825494,0.0200510217363
2026-05-27T23:30:21.595,514546,0.96,-0.22,-0.07,2.6,1.8,1.3,-0.2,18.3,24.1,101.122,34.7,0,1,0,1,2,NONE,55,249,0.98737024464,3.41906419946,0.294627825494,0.0126297553602
2026-05-27T23:30:21.658,514598,0.94,-0.22,-0.07,3.6,4.2,1.5,-0.2,18.1,23.3,101.126,34.7,0,1,0,1,2,NONE,67,360,0.967935948294,5.73149195236,0.384615384615,0.0320640517059
2026-05-27T23:30:21.707,514646,0.96,-0.22,-0.07,4.2,5.0,1.5,-0.1,18.6,23.2,101.124,34.71,0,1,0,1,2,NONE,50,248,0.98737024464,6.7,0.416666666667,0.0126297553602
2026-05-27T23:30:21.752,514698,0.96,-0.24,-0.07,2.2,6.5,2.0,-0.7,18.6,23.7,101.124,34.71,0,1,0,1,2,NONE,53,231,0.992018144995,7.1477269114,0.384615384615,0.00798185500466
2026-05-27T23:30:21.800,514748,0.96,-0.22,-0.09,2.2,5.8,2.1,-0.5,18.3,23.9,101.123,34.71,0,1,0,1,2,NONE,67,247,0.988989383158,6.54904573201,0.565685424949,0.0110106168416
2026-05-27T23:30:21.853,514799,0.96,-0.23,-0.09,2.0,2.7,1.9,-0.5,18.3,23.9,101.122,34.71,0,1,0,1,2,NONE,53,298,0.991261822124,3.86005181312,0.196078431373,0.0087381778763
2026-05-27T23:30:21.897,514848,0.95,-0.22,-0.08,0.5,4.5,1.6,0.0,18.1,23.8,101.123,34.72,0,1,0,1,2,NONE,59,290,0.978417088976,4.80208288142,0.353479756647,0.0215829110241
2026-05-27T23:30:21.960,514900,0.95,-0.22,-0.07,-0.2,3.4,0.9,-0.7,18.3,25.1,101.125,34.71,0,1,1,1,3,NONE,42,234,0.977650244208,3.52278299076,0.192307692308,0.022349755792
2026-05-27T23:30:22.005,514946,0.95,-0.23,-0.08,0.3,2.3,0.4,-1.2,18.3,24.3,101.121,34.72,0,1,1,1,3,NONE,64,369,0.980714025596,2.35372045919,0.307437730951,0.0192859744044
2026-05-27T23:30:22.058,515000,0.95,-0.23,-0.07,-2.1,2.5,0.5,-0.6,18.7,23.9,101.122,34.72,0,1,1,1,3,NONE,56,356,0.979948978264,3.30302891298,0.185185185185,0.0200510217363
2026-05-27T23:30:22.103,515046,0.95,-0.23,-0.08,-0.7,2.3,0.8,-0.4,18.4,24.2,101.121,34.72,0,1,1,1,3,NONE,59,278,0.980714025596,2.53377189186,0.217391304348,0.0192859744044
2026-05-27T23:30:22.154,515098,0.95,-0.23,-0.08,0.7,4.5,1.0,-0.2,18.2,25.0,101.122,34.73,0,1,1,1,3,NONE,63,337,0.980714025596,4.66261729075,0,0.0192859744044
2026-05-27T23:30:22.208,515149,0.95,-0.24,-0.07,-1.4,4.3,0.3,-1.2,18.8,23.6,101.122,34.73,0,1,1,1,3,NONE,45,269,0.982344135219,4.53210767745,0.277296776936,0.0176558647806
2026-05-27T23:30:22.250,515198,0.93,-0.23,-0.07,-0.7,3.8,0.5,-0.9,19.3,23.2,101.125,34.72,0,1,1,1,3,NONE,62,334,0.960572745814,3.89615194776,0.456340403571,0.0394272541863
2026-05-27T23:30:22.310,515246,0.95,-0.24,-0.07,-1.0,4.3,0.8,-1.0,19.3,24.0,101.119,34.73,0,1,1,1,3,NONE,56,310,0.982344135219,4.48664685483,0.465847495312,0.0176558647806
2026-05-27T23:30:22.359,515298,0.96,-0.23,-0.1,-0.5,5.6,1.5,-1.2,19.7,25.0,101.124,34.73,0,1,1,1,3,NONE,43,250,0.992219733728,5.81893461039,0.637812459684,0.00778026627163
2026-05-27T23:30:22.407,515348,0.95,-0.23,-0.09,1.6,3.9,1.7,-1.0,19.3,25.2,101.124,34.73,0,1,1,1,3,NONE,42,221,0.981580358402,4.54532727095,0.282842712475,0.0184196415983
2026-05-27T23:30:22.456,515396,0.95,-0.24,-0.09,-0.9,4.0,1.2,-0.7,19.7,23.7,101.125,34.73,0,1,1,1,3,NONE,52,228,0.983971544304,4.27200187266,0.208333333333,0.016028455696
2026-05-27T23:30:22.504,515448,0.95,-0.23,-0.07,-0.3,4.6,1.6,-0.7,20.1,24.8,101.124,34.74,0,1,1,1,3,NONE,48,213,0.979948978264,4.8795491595,0.430013072596,0.0200510217363
2026-05-27T23:30:22.558,515500,0.95,-0.22,-0.08,0.2,2.7,1.5,-0.7,19.6,24.2,101.119,34.73,0,1,1,1,3,NONE,36,206,0.978417088976,3.09515750811,0.27196414661,0.0215829110241
