relative_path,report_period,report_type,size_kb
reports/2024-01/OPS_REPORT_2024-01.md,2024-01,monthly_ops,1.421875
reports/2024-02/OPS_REPORT_2024-02.md,2024-02,monthly_ops,1.576171875
reports/2024-03/OPS_REPORT_2024-03.md,2024-03,monthly_ops,1.5771484375
reports/2024-04/OPS_REPORT_2024-04.md,2024-04,monthly_ops,1.5751953125
reports/2024-05/OPS_REPORT_2024-05.md,2024-05,monthly_ops,1.578125
reports/2024-06/OPS_REPORT_2024-06.md,2024-06,monthly_ops,1.578125
reports/2024-07/OPS_REPORT_2024-07.md,2024-07,monthly_ops,1.5771484375
reports/2024-08/OPS_REPORT_2024-08.md,2024-08,monthly_ops,1.5771484375
reports/2024-09/OPS_REPORT_2024-09.md,2024-09,monthly_ops,1.5771484375
reports/2024-10/OPS_REPORT_2024-10.md,2024-10,monthly_ops,1.576171875
reports/2024-11/OPS_REPORT_2024-11.md,2024-11,monthly_ops,1.576171875
reports/2024-12/OPS_REPORT_2024-12.md,2024-12,monthly_ops,1.5771484375
reports/2024-Q1/FIN_CLOSE_2024-Q1.md,2024-Q1,quarterly_fin_close,0.8369140625
reports/2024-Q2/FIN_CLOSE_2024-Q2.md,2024-Q2,quarterly_fin_close,0.8349609375
reports/2024-Q3/FIN_CLOSE_2024-Q3.md,2024-Q3,quarterly_fin_close,0.8349609375
reports/2024-Q4/FIN_CLOSE_2024-Q4.md,2024-Q4,quarterly_fin_close,0.8359375
reports/2025-01/OPS_REPORT_2025-01.md,2025-01,monthly_ops,1.5791015625
reports/2025-02/OPS_REPORT_2025-02.md,2025-02,monthly_ops,1.578125
reports/2025-03/OPS_REPORT_2025-03.md,2025-03,monthly_ops,1.5791015625
reports/2025-04/OPS_REPORT_2025-04.md,2025-04,monthly_ops,1.6884765625
reports/2025-05/OPS_REPORT_2025-05.md,2025-05,monthly_ops,1.689453125
reports/2025-06/OPS_REPORT_2025-06.md,2025-06,monthly_ops,1.578125
reports/2025-07/OPS_REPORT_2025-07.md,2025-07,monthly_ops,1.5908203125
reports/2025-08/OPS_REPORT_2025-08.md,2025-08,monthly_ops,1.5791015625
reports/2025-09/OPS_REPORT_2025-09.md,2025-09,monthly_ops,1.6357421875
reports/2025-10/OPS_REPORT_2025-10.md,2025-10,monthly_ops,1.6357421875
reports/2025-11/OPS_REPORT_2025-11.md,2025-11,monthly_ops,1.578125
reports/2025-12/OPS_REPORT_2025-12.md,2025-12,monthly_ops,1.5771484375
reports/2025-Q1/FIN_CLOSE_2025-Q1.md,2025-Q1,quarterly_fin_close,0.8359375
reports/2025-Q2/FIN_CLOSE_2025-Q2.md,2025-Q2,quarterly_fin_close,0.8359375
reports/2025-Q3/FIN_CLOSE_2025-Q3.md,2025-Q3,quarterly_fin_close,0.8359375
reports/2025-Q4/FIN_CLOSE_2025-Q4.md,2025-Q4,quarterly_fin_close,0.857421875
