account_id,render_month,statements,transaction_pages,fact_transactions,amount_total_thb,fact_rows_per_transaction_page
BBL-OPER,2024-01,1,1,1,500000.0,1.0
BBL-OPER,2024-02,1,1,1,500000.0,1.0
BBL-OPER,2024-03,1,1,1,500000.0,1.0
BBL-OPER,2024-04,1,1,1,500000.0,1.0
BBL-OPER,2024-05,1,1,1,500000.0,1.0
BBL-OPER,2024-06,1,1,1,500000.0,1.0
BBL-OPER,2024-07,1,1,1,500000.0,1.0
BBL-OPER,2024-08,1,1,1,500000.0,1.0
BBL-OPER,2024-09,1,1,1,500000.0,1.0
BBL-OPER,2024-10,1,1,1,500000.0,1.0
BBL-OPER,2024-11,1,1,1,500000.0,1.0
BBL-OPER,2024-12,1,1,1,500000.0,1.0
BBL-OPER,2025-01,1,1,1,500000.0,1.0
BBL-OPER,2025-02,1,1,1,500000.0,1.0
BBL-OPER,2025-03,1,1,1,500000.0,1.0
BBL-OPER,2025-04,1,1,1,500000.0,1.0
BBL-OPER,2025-05,1,1,1,500000.0,1.0
BBL-OPER,2025-06,1,1,1,500000.0,1.0
BBL-OPER,2025-07,1,1,1,500000.0,1.0
BBL-OPER,2025-08,1,1,1,500000.0,1.0
BBL-OPER,2025-09,1,1,1,500000.0,1.0
BBL-OPER,2025-10,1,1,1,500000.0,1.0
BBL-OPER,2025-11,1,1,1,500000.0,1.0
BBL-OPER,2025-12,1,1,1,500000.0,1.0
KBANK-OPER,2024-01,1,22,995,-30628200.0,45.22727272727273
KBANK-OPER,2024-02,1,28,1245,19294700.0,44.464285714285715
KBANK-OPER,2024-03,1,34,1532,75789400.0,45.05882352941177
KBANK-OPER,2024-04,1,33,1505,80994200.0,45.60606060606061
KBANK-OPER,2024-05,1,34,1525,68539200.0,44.85294117647059
KBANK-OPER,2024-06,1,34,1537,73173100.0,45.205882352941174
KBANK-OPER,2024-07,1,36,1621,88876700.0,45.02777777777778
KBANK-OPER,2024-08,1,36,1613,79987400.0,44.80555555555556
KBANK-OPER,2024-09,1,35,1579,80674700.0,45.114285714285714
KBANK-OPER,2024-10,1,36,1622,87533600.0,45.05555555555556
KBANK-OPER,2024-11,1,34,1556,72500650.0,45.76470588235294
KBANK-OPER,2024-12,1,36,1614,81476800.0,44.833333333333336
KBANK-OPER,2025-01,1,35,1574,81882700.0,44.97142857142857
KBANK-OPER,2025-02,1,33,1503,81798200.0,45.54545454545455
KBANK-OPER,2025-03,1,35,1607,89803600.0,45.91428571428571
KBANK-OPER,2025-04,1,35,1581,92401600.0,45.17142857142857
KBANK-OPER,2025-05,1,35,1604,79473100.0,45.82857142857143
KBANK-OPER,2025-06,1,33,1489,66165500.0,45.121212121212125
KBANK-OPER,2025-07,1,37,1682,85769750.0,45.45945945945946
KBANK-OPER,2025-08,1,34,1540,68466350.0,45.294117647058826
KBANK-OPER,2025-09,1,35,1582,70278100.0,45.2
KBANK-OPER,2025-10,1,38,1715,89502100.0,45.13157894736842
KBANK-OPER,2025-11,1,34,1554,78603850.0,45.705882352941174
KBANK-OPER,2025-12,1,36,1632,88020400.0,45.333333333333336
OPER-BKK-CTW,2024-01,1,3,118,17130700.0,39.333333333333336
OPER-BKK-CTW,2024-02,1,3,111,16892000.0,37.0
OPER-BKK-CTW,2024-03,1,3,120,18681300.0,40.0
OPER-BKK-CTW,2024-04,1,3,98,14116200.0,32.666666666666664
OPER-BKK-CTW,2024-05,1,3,118,18915100.0,39.333333333333336
OPER-BKK-CTW,2024-06,1,3,115,16899700.0,38.333333333333336
OPER-BKK-CTW,2024-07,1,3,116,19513200.0,38.666666666666664
OPER-BKK-CTW,2024-08,1,3,120,19689600.0,40.0
OPER-BKK-CTW,2024-09,1,3,116,20062300.0,38.666666666666664
OPER-BKK-CTW,2024-10,1,3,117,18054700.0,39.0
OPER-BKK-CTW,2024-11,1,3,114,17997164.0,38.0
OPER-BKK-CTW,2024-12,1,3,121,19760330.0,40.333333333333336
OPER-BKK-CTW,2025-01,1,3,120,16924100.0,40.0
OPER-BKK-CTW,2025-02,1,3,109,16798500.0,36.333333333333336
OPER-BKK-CTW,2025-03,1,3,120,17240800.0,40.0
OPER-BKK-CTW,2025-04,1,3,95,15162200.0,31.666666666666668
OPER-BKK-CTW,2025-05,1,3,118,16082300.0,39.333333333333336
OPER-BKK-CTW,2025-06,1,3,114,19242800.0,38.0
OPER-BKK-CTW,2025-07,1,3,118,20094140.0,39.333333333333336
OPER-BKK-CTW,2025-08,1,3,119,19082100.0,39.666666666666664
OPER-BKK-CTW,2025-09,1,3,118,20144100.0,39.333333333333336
OPER-BKK-CTW,2025-10,1,3,121,18986100.0,40.333333333333336
OPER-BKK-CTW,2025-11,1,3,120,19319982.0,40.0
OPER-BKK-CTW,2025-12,1,3,118,17659260.0,39.333333333333336
OPER-BKK-EMSP,2024-01,1,8,114,12306200.0,14.25
OPER-BKK-EMSP,2024-02,1,7,106,13585200.0,15.142857142857142
OPER-BKK-EMSP,2024-03,1,8,113,14466700.0,14.125
OPER-BKK-EMSP,2024-04,1,7,96,12770100.0,13.714285714285714
OPER-BKK-EMSP,2024-05,1,8,115,16322600.0,14.375
OPER-BKK-EMSP,2024-06,1,8,116,16021000.0,14.5
OPER-BKK-EMSP,2024-07,1,8,117,15086500.0,14.625
OPER-BKK-EMSP,2024-08,1,8,118,15527700.0,14.75
OPER-BKK-EMSP,2024-09,1,8,115,17852800.0,14.375
OPER-BKK-EMSP,2024-10,1,8,119,15493800.0,14.875
OPER-BKK-EMSP,2024-11,1,8,115,17507928.0,14.375
OPER-BKK-EMSP,2024-12,1,8,116,16912340.0,14.5
OPER-BKK-EMSP,2025-01,1,8,114,15373000.0,14.25
OPER-BKK-EMSP,2025-02,1,7,101,12935500.0,14.428571428571429
