table,table_family,rows,columns,disk_mb,memory_mb,missing_cells_pct,full_row_duplicates,probable_key,probable_key_duplicates
FACT_INVENTORY_MOVEMENT,FACT,310827,10,28.878252029418945,130.25733089447021,10.038928407120359,0,movement_id,0
FACT_SALES_LINE_ITEM,FACT,309129,13,37.85483264923096,137.06941032409668,11.395217878918858,0,line_item_id,0
FACT_LOYALTY_LEDGER,FACT,118857,11,11.13237190246582,49.57547378540039,12.418054698273785,0,ledger_id,0
FACT_SALES,FACT,117105,24,16.789523124694824,92.5417947769165,34.7431436175512,0,txn_id,0
FACT_BANK_TRANSACTION,FACT,65334,13,12.130152702331543,41.532395362854004,11.061386343781422,0,bank_txn_id,0
DIM_CUSTOMER,DIM,30000,19,4.70042610168457,25.71818733215332,15.894736842105264,0,customer_id,0
FACT_INVENTORY_MONTHLY_SNAPSHOT,FACT,26220,9,2.101346015930176,9.439510345458984,11.11111111111111,0,snapshot_id,0
FACT_SHIPPING,FACT,23182,11,2.505934715270996,12.0789155960083,9.090909090909092,0,shipping_id,0
FACT_PAYROLL,FACT,14400,14,2.0048751831054688,7.278419494628906,7.142857142857142,0,payroll_id,0
FACT_CS_INTERACTION,FACT,14368,14,1.9667177200317383,10.133264541625977,21.428571428571423,0,cs_interaction_id,0
FACT_RETURN,FACT,7144,14,1.1735305786132812,4.853171348571777,7.20684690449528,0,return_id,0
FACT_REFUND_PAID,FACT,7134,13,1.0039377212524414,4.074512481689453,23.096331759073557,0,refund_id,0
FACT_WARRANTY_CLAIM,FACT,3973,12,0.4882478713989258,2.360154151916504,16.719103951673798,0,claim_id,0
FACT_PROMO_REDEMPTION,FACT,1583,10,0.17237186431884766,0.6808338165283203,10.0,0,redemption_id,0
FACT_VENDOR_PAYMENT,FACT,809,15,0.12582778930664062,0.5650043487548828,13.325092707045735,0,payment_id,0
DIM_DATE,DIM,731,7,0.027283668518066406,0.1053934097290039,14.285714285714285,0,date_iso,0
DIM_EMPLOYEE,DIM,600,21,0.08033561706542969,0.49907779693603516,28.56349206349207,0,employee_id,0
DIM_PRODUCT,DIM,110,13,0.009190559387207031,0.04679679870605469,19.51048951048951,0,sku_id,0
T2_DOC_INVENTORY,OTHER,81,7,0.007058143615722656,0.032988548278808594,0.0,0,doc_id,0
DIM_VENDOR_CONTRACT_VERSION,DIM,22,7,0.001552581787109375,0.006649017333984375,7.142857142857142,0,contract_version_id,0
DIM_BANK_ACCOUNT,DIM,14,8,0.0010747909545898438,0.005474090576171875,2.6785714285714284,0,account_id,0
DIM_POLICY_VERSION,DIM,12,10,0.001010894775390625,0.004584312438964844,35.833333333333336,0,policy_version_id,0
DIM_BRANCH,DIM,11,8,0.0009202957153320312,0.0029745101928710938,0.0,0,branch_code,0
DIM_DEPARTMENT,DIM,9,4,0.00036716461181640625,0.0020875930786132812,0.0,0,dept_code,0
dim_promo_mechanic,DIM,8,7,0.0006856918334960938,0.0020427703857421875,28.57142857142857,0,promo_mechanic_id,0
DIM_PROMO_CAMPAIGN,DIM,7,6,0.0011463165283203125,0.0031709671020507812,0.0,0,campaign_id,0
dim_signing_authority_ladder,DIM,7,8,0.00048542022705078125,0.00168609619140625,19.642857142857142,0,ladder_row_id,0
DIM_POSITION_LEVEL,DIM,6,3,0.0001583099365234375,0.00052642822265625,0.0,0,position_level_code,0
DIM_VENDOR,DIM,6,11,0.0006475448608398438,0.002979278564453125,7.575757575757576,0,vendor_id,0
dim_product_recall_history,DIM,3,4,0.0001316070556640625,0.0006437301635742188,0.0,0,history_id,0
dim_care_plus_sku_tier,DIM,2,7,0.00021266937255859375,0.00046825408935546875,14.285714285714285,0,tier_row_id,0
