table,column,missing_rows,missing_pct
DIM_DATE,holiday_name,731,100.0
DIM_EMPLOYEE,phone,600,100.0
DIM_EMPLOYEE,section,600,100.0
DIM_EMPLOYEE,termination_date,600,100.0
DIM_EMPLOYEE,termination_reason,600,100.0
DIM_EMPLOYEE,unit,600,100.0
DIM_POLICY_VERSION,policy_doc_filename,12,100.0
DIM_PRODUCT,end_of_life_date,110,100.0
FACT_BANK_TRANSACTION,effective_date,65334,100.0
FACT_CS_INTERACTION,effective_date,14368,100.0
FACT_INVENTORY_MONTHLY_SNAPSHOT,effective_date,26220,100.0
FACT_INVENTORY_MOVEMENT,effective_date,310827,100.0
FACT_LOYALTY_LEDGER,effective_date,118857,100.0
FACT_PAYROLL,effective_date,14400,100.0
FACT_PROMO_REDEMPTION,effective_date,1583,100.0
FACT_REFUND_PAID,cosig_employee_id,7134,100.0
FACT_REFUND_PAID,cs_interaction_id,7134,100.0
FACT_REFUND_PAID,effective_date,7134,100.0
FACT_RETURN,effective_date,7144,100.0
FACT_SALES,effective_date,117105,100.0
FACT_SALES,retry_idempotency_marker,117105,100.0
FACT_SALES_LINE_ITEM,effective_date,309129,100.0
FACT_SHIPPING,effective_date,23182,100.0
FACT_VENDOR_PAYMENT,effective_date,809,100.0
FACT_WARRANTY_CLAIM,effective_date,3973,100.0
dim_care_plus_sku_tier,sku_category,2,100.0
dim_promo_mechanic,min_basket_thb,8,100.0
FACT_VENDOR_PAYMENT,cosig_employee_id,808,99.87639060568603
DIM_EMPLOYEE,canon_role_label,597,99.5
FACT_WARRANTY_CLAIM,claim_amount_thb,3938,99.11905361188019
DIM_PRODUCT,dept_code,109,99.0909090909091
DIM_CUSTOMER,account_manager_id,29700,99.0
DIM_CUSTOMER,b2b_subtype,29700,99.0
DIM_CUSTOMER,payment_terms,29700,99.0
FACT_SALES,employee_id,113412,96.84641987959523
FACT_SALES,promo_campaign_id,111537,95.24529268605097
FACT_SALES,web_log_line_id,108142,92.34618504760684
DIM_POLICY_VERSION,value_text,11,91.66666666666666
FACT_SALES,settlement_bank_txn_id,103792,88.63156995858418
FACT_SALES,payment_received_date,103292,88.20460270697238
FACT_SALES,payment_due_date,102885,87.85705136416037
dim_promo_mechanic,point_multiplier,7,87.5
dim_signing_authority_ladder,dept_code,6,85.71428571428571
FACT_SALES,customer_id,99193,84.70432517825883
DIM_VENDOR,end_date,5,83.33333333333334
FACT_CS_INTERACTION,chat_session_id,10993,76.51030066815144
DIM_POLICY_VERSION,policy_value_table_ref,9,75.0
FACT_CS_INTERACTION,related_warranty_claim_id,10455,72.76586859688196
dim_signing_authority_ladder,co_signer_min_position_level_code,5,71.42857142857143
DIM_POLICY_VERSION,end_date,7,58.333333333333336
DIM_PRODUCT,vendor_id,60,54.54545454545454
FACT_CS_INTERACTION,related_refund_id,7288,50.72383073496659
FACT_SALES_LINE_ITEM,pos_log_line_id,148808,48.137832425945156
FACT_BANK_TRANSACTION,counterparty,28327,43.35721064070775
FACT_LOYALTY_LEDGER,txn_id,43500,36.59860168101163
DIM_POLICY_VERSION,value_numeric,4,33.33333333333333
DIM_VENDOR_CONTRACT_VERSION,amendment_summary,6,27.27272727272727
DIM_VENDOR_CONTRACT_VERSION,end_date,5,22.727272727272727
DIM_BANK_ACCOUNT,associated_branch_code,3,21.428571428571427
dim_promo_mechanic,discount_value,1,12.5
FACT_WARRANTY_CLAIM,original_txn_id,60,1.5101938082053865
DIM_CUSTOMER,age,300,1.0
DIM_CUSTOMER,first_name_th,300,1.0
DIM_CUSTOMER,gender,300,1.0
DIM_CUSTOMER,last_name_en,300,1.0
DIM_CUSTOMER,last_name_th,300,1.0
FACT_RETURN,line_item_id,64,0.8958566629339306
FACT_INVENTORY_MOVEMENT,related_txn_id,1210,0.38928407120359554
DIM_EMPLOYEE,reports_to_employee_id,2,0.33333333333333337
FACT_REFUND_PAID,return_id,18,0.2523128679562658
FACT_BANK_TRANSACTION,related_entity_id,144,0.22040591422536507
FACT_BANK_TRANSACTION,related_entity_table,144,0.22040591422536507
