relative_path,render_type,render_month,extension,stem,size_mb,statement_id,account_id,be_year,month,raw_page_role,page_number,page_role
renders/bank_statement/2024-01/BS-BBL-OPER-2567-01_header.png,bank_statement,2024-01,.png,BS-BBL-OPER-2567-01_header,0.08986473083496094,BS-BBL-OPER-2567-01,BBL-OPER,2567,01,header,,header
renders/bank_statement/2024-01/BS-BBL-OPER-2567-01_transactions_p1.png,bank_statement,2024-01,.png,BS-BBL-OPER-2567-01_transactions_p1,0.0946512222290039,BS-BBL-OPER-2567-01,BBL-OPER,2567,01,transactions_p1,1,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_header.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_header,0.2983512878417969,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,header,,header
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p1.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p1,0.8460988998413086,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p1,1,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p10.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p10,0.9043922424316406,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p10,10,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p11.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p11,0.9078922271728516,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p11,11,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p12.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p12,0.8990497589111328,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p12,12,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p13.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p13,0.917811393737793,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p13,13,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p14.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p14,0.913599967956543,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p14,14,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p15.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p15,0.9039669036865234,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p15,15,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p16.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p16,0.9036588668823242,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p16,16,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p17.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p17,0.9111537933349609,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p17,17,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p18.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p18,0.9079647064208984,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p18,18,transactions
renders/bank_statement/2024-01/BS-KBANK-OPER-2567-01_transactions_p19.png,bank_statement,2024-01,.png,BS-KBANK-OPER-2567-01_transactions_p19,0.9008293151855469,BS-KBANK-OPER-2567-01,KBANK-OPER,2567,01,transactions_p19,19,transactions
