render_type,render_month,files,size_mb
bank_statement,2024-01,102,39.46629619598389
bank_statement,2024-02,104,43.171000480651855
bank_statement,2024-03,114,50.29689407348633
bank_statement,2024-04,104,46.7786226272583
bank_statement,2024-05,115,51.02765464782715
bank_statement,2024-06,112,50.4003324508667
bank_statement,2024-07,117,52.533318519592285
bank_statement,2024-08,116,52.90550994873047
bank_statement,2024-09,115,51.816545486450195
bank_statement,2024-10,118,52.46480941772461
bank_statement,2024-11,114,50.78593635559082
bank_statement,2024-12,117,52.24706172943115
bank_statement,2025-01,114,51.22261714935303
bank_statement,2025-02,107,48.001919746398926
bank_statement,2025-03,116,52.7382926940918
bank_statement,2025-04,102,48.45849323272705
bank_statement,2025-05,116,52.949965476989746
bank_statement,2025-06,114,50.70191669464111
bank_statement,2025-07,118,54.77797603607178
bank_statement,2025-08,114,52.04982852935791
bank_statement,2025-09,116,52.56518840789795
bank_statement,2025-10,119,55.018898010253906
bank_statement,2025-11,112,51.03882312774658
bank_statement,2025-12,118,53.323845863342285
e7_banner,2024-11,1,0.41408538818359375
e7_banner,2024-12,1,0.4104776382446289
e7_banner,2025-11,1,0.41466236114501953
e7_banner,2025-12,1,0.41088104248046875
receipt,2024-01,30,13.746798515319824
receipt,2024-02,26,12.24681568145752
receipt,2024-03,26,11.721789360046387
receipt,2024-04,15,6.943979263305664
receipt,2024-05,27,12.804116249084473
receipt,2024-06,16,7.765472412109375
receipt,2024-07,20,9.79397964477539
receipt,2024-08,27,12.83475112915039
receipt,2024-09,30,14.383138656616211
receipt,2024-10,19,9.322450637817383
receipt,2024-11,16,7.758339881896973
receipt,2024-12,29,13.870430946350098
receipt,2025-01,23,10.811078071594238
receipt,2025-02,18,8.0798978805542
receipt,2025-03,23,10.653580665588379
receipt,2025-04,17,9.285429954528809
receipt,2025-05,28,12.994412422180176
receipt,2025-06,22,11.098243713378906
receipt,2025-07,27,12.600144386291504
receipt,2025-08,21,10.302287101745605
receipt,2025-09,31,14.292887687683105
receipt,2025-10,26,12.284521102905273
receipt,2025-11,27,12.509510040283203
receipt,2025-12,19,9.000439643859863
t2_doc,2024-01,13,0.2312755584716797
t2_doc,2024-02,2,0.037072181701660156
t2_doc,2024-04,2,0.03590106964111328
t2_doc,2024-05,1,0.021650314331054688
t2_doc,2024-06,1,0.01473236083984375
t2_doc,2024-07,2,0.0404815673828125
t2_doc,2024-08,1,0.01523590087890625
t2_doc,2024-09,4,0.07532501220703125
t2_doc,2024-10,2,0.03628730773925781
t2_doc,2024-11,2,0.03715229034423828
t2_doc,2024-12,2,0.03516674041748047
t2_doc,2025-01,2,0.036978721618652344
t2_doc,2025-02,3,0.05217933654785156
t2_doc,2025-03,6,0.10654258728027344
t2_doc,2025-04,9,0.16177749633789062
t2_doc,2025-05,4,0.07578182220458984
t2_doc,2025-06,3,0.05335044860839844
t2_doc,2025-07,3,0.05655670166015625
t2_doc,2025-08,2,0.034354209899902344
t2_doc,2025-09,5,0.09318161010742188
t2_doc,2025-10,5,0.09463787078857422
t2_doc,2025-11,2,0.034468650817871094
t2_doc,2025-12,5,0.09111309051513672
t3_doc,2024-01,10,17.821496963500977
t3_doc,2025-03,1,1.3335609436035156
vendor_invoice,2024-01,33,29.51852512359619
vendor_invoice,2024-02,33,29.5097599029541
vendor_invoice,2024-03,33,29.53298568725586
vendor_invoice,2024-04,33,29.526050567626953
vendor_invoice,2024-05,33,29.542372703552246
vendor_invoice,2024-06,33,29.543270111083984
vendor_invoice,2024-07,33,29.53378677368164
vendor_invoice,2024-08,33,29.544507026672363
vendor_invoice,2024-09,33,29.540059089660645
vendor_invoice,2024-10,33,29.515461921691895
vendor_invoice,2024-11,33,29.522985458374023
vendor_invoice,2024-12,33,29.50031280517578
vendor_invoice,2025-01,33,29.56031322479248
vendor_invoice,2025-02,33,29.607675552368164
vendor_invoice,2025-03,33,29.612065315246582
vendor_invoice,2025-04,33,29.52531909942627
vendor_invoice,2025-05,33,29.53905963897705
vendor_invoice,2025-06,33,29.529043197631836
vendor_invoice,2025-07,33,29.525840759277344
vendor_invoice,2025-08,33,29.502262115478516
vendor_invoice,2025-09,33,29.528071403503418
vendor_invoice,2025-10,33,29.522929191589355
vendor_invoice,2025-11,33,29.50393581390381
vendor_invoice,2025-12,33,29.489752769470215
warranty_form,2024-01,75,72.2924690246582
warranty_form,2024-02,87,84.05665397644043
warranty_form,2024-03,69,66.77387714385986
warranty_form,2024-04,68,65.72275352478027
warranty_form,2024-05,75,72.51106548309326
warranty_form,2024-06,70,67.68719482421875
warranty_form,2024-07,92,88.8140811920166
warranty_form,2024-08,100,96.73671436309814
warranty_form,2024-09,83,80.25937366485596
warranty_form,2024-10,95,91.65294933319092
warranty_form,2024-11,89,85.67232036590576
warranty_form,2024-12,76,73.30266094207764
warranty_form,2025-01,74,71.51511859893799
warranty_form,2025-02,77,74.5278959274292
warranty_form,2025-03,80,77.3796272277832
warranty_form,2025-04,70,67.74754810333252
warranty_form,2025-05,87,84.16822910308838
warranty_form,2025-06,83,80.39148235321045
warranty_form,2025-07,86,83.1421012878418
warranty_form,2025-08,68,65.89688014984131
warranty_form,2025-09,91,88.10419368743896
warranty_form,2025-10,102,98.56677722930908
warranty_form,2025-11,87,83.92079544067383
warranty_form,2025-12,79,76.26744556427002
