file,column,value,count,percent
windows_all.csv,class_en,sideways_fall,806,37.69878391019644
windows_all.csv,class_en,backward_fall,805,37.65201122544434
windows_all.csv,class_en,slow_collapse_fall,189,8.840037418147801
windows_all.csv,class_en,limping_walk,80,3.7418147801683816
windows_all.csv,class_en,elderly_pick_up_object,63,2.9466791393826006
windows_all.csv,class_en,corrected_walking,59,2.7595884003741813
windows_all.csv,class_en,stand_sit_alternating,56,2.6192703461178675
windows_all.csv,class_en,normal_walk,29,1.3564078578110383
windows_all.csv,class_en,gradual_fall,25,1.1693171188026192
windows_all.csv,class_en,lying_down,17,0.7951356407857811
windows_all.csv,class_en,standing,9,0.420954162768943
windows_all.csv,class,NaN,1800,84.19083255378858
windows_all.csv,class,limping_walk,80,3.7418147801683816
windows_all.csv,class,elderly_pick_up_object,63,2.9466791393826006
windows_all.csv,class,corrected_walking,59,2.7595884003741813
windows_all.csv,class,stand_sit_alternating,56,2.6192703461178675
windows_all.csv,class,normal_walk,29,1.3564078578110383
windows_all.csv,class,gradual_fall,25,1.1693171188026192
windows_all.csv,class,lying_down,17,0.7951356407857811
windows_all.csv,class,standing,9,0.420954162768943
windows_all.csv,category,fall,1825,85.3601496725912
windows_all.csv,category,activity,287,13.42376052385407
windows_all.csv,category,static_activity,26,1.216089803554724
windows_all.csv,label,1,1825,85.3601496725912
windows_all.csv,label,0,313,14.639850327408793
windows_all.csv,source,original,783,36.623012160898035
windows_all.csv,source,aug_axisperm,455,21.28157156220767
windows_all.csv,source,aug_timewarp,455,21.28157156220767
windows_all.csv,source,aug_noise,445,20.81384471468662
windows_extracted.csv,class_en,limping_walk,80,23.668639053254438
windows_extracted.csv,class_en,elderly_pick_up_object,63,18.639053254437872
windows_extracted.csv,class_en,corrected_walking,59,17.45562130177515
windows_extracted.csv,class_en,stand_sit_alternating,56,16.56804733727811
windows_extracted.csv,class_en,normal_walk,29,8.579881656804734
windows_extracted.csv,class_en,gradual_fall,25,7.396449704142012
windows_extracted.csv,class_en,lying_down,17,5.029585798816568
windows_extracted.csv,class_en,standing,9,2.6627218934911245
windows_extracted.csv,class,limping_walk,80,23.668639053254438
windows_extracted.csv,class,elderly_pick_up_object,63,18.639053254437872
windows_extracted.csv,class,corrected_walking,59,17.45562130177515
windows_extracted.csv,class,stand_sit_alternating,56,16.56804733727811
windows_extracted.csv,class,normal_walk,29,8.579881656804734
windows_extracted.csv,class,gradual_fall,25,7.396449704142012
windows_extracted.csv,class,lying_down,17,5.029585798816568
windows_extracted.csv,class,standing,9,2.6627218934911245
windows_extracted.csv,category,activity,287,84.91124260355029
windows_extracted.csv,category,static_activity,26,7.6923076923076925
windows_extracted.csv,category,fall,25,7.396449704142012
windows_extracted.csv,label,0,313,92.60355029585799
windows_extracted.csv,label,1,25,7.396449704142012
windows_extracted.csv,source,original,338,100.0
joined_imu_windows.csv,class_en,slow_collapse_fall,1800,100.0
joined_imu_windows.csv,category,fall,1800,100.0
joined_imu_windows.csv,win_class,ล้มแบบค่อยๆทรุด,1800,100.0
joined_imu_windows.csv,win_label,1,1800,100.0
merged_dataset_full.csv,class_en,limping_walk,1631,16.54158215010142
merged_dataset_full.csv,class_en,elderly_pick_up_object,1284,13.022312373225153
merged_dataset_full.csv,class_en,slow_collapse_fall,1237,12.545638945233264
merged_dataset_full.csv,class_en,corrected_walking,1214,12.31237322515213
merged_dataset_full.csv,class_en,stand_sit_alternating,1153,11.693711967545639
merged_dataset_full.csv,class_en,sideways_fall,806,8.174442190669371
merged_dataset_full.csv,class_en,backward_fall,805,8.164300202839756
merged_dataset_full.csv,class_en,normal_walk,618,6.267748478701826
merged_dataset_full.csv,class_en,gradual_fall,538,5.456389452332657
merged_dataset_full.csv,class_en,lying_down,371,3.7626774847870186
merged_dataset_full.csv,class_en,standing,203,2.0588235294117645
merged_dataset_full.csv,class,NaN,8060,81.7444219066937
merged_dataset_full.csv,class,ล้มข้าง,806,8.174442190669371
merged_dataset_full.csv,class,ล้มไปด้านหลัง,805,8.164300202839756
merged_dataset_full.csv,class,ล้มแบบค่อยๆทรุด,189,1.9168356997971603
merged_dataset_full.csv,category,activity,5900,59.83772819472617
merged_dataset_full.csv,category,fall,3386,34.340770791075045
merged_dataset_full.csv,category,static_activity,574,5.821501014198783
merged_dataset_full.csv,label,NaN,8060,81.7444219066937
merged_dataset_full.csv,label,1.0,1800,18.255578093306287
merged_dataset_full.csv,source,NaN,8060,81.7444219066937
merged_dataset_full.csv,source,aug_axisperm,455,4.614604462474645
merged_dataset_full.csv,source,aug_timewarp,455,4.614604462474645
merged_dataset_full.csv,source,aug_noise,445,4.513184584178499
merged_dataset_full.csv,source,original,445,4.513184584178499
