file,column,available,rows,unique_non_null,null_count,max_class_count,min_class_count,max_min_ratio,top_class,top_class_percent,is_single_class
windows_all.csv,class_en,True,2138.0,11.0,0.0,806.0,9.0,89.55555555555556,sideways_fall,37.69878391019644,False
windows_all.csv,class,True,2138.0,8.0,1800.0,80.0,9.0,8.88888888888889,limping_walk,3.7418147801683816,False
windows_all.csv,category,True,2138.0,3.0,0.0,1825.0,26.0,70.1923076923077,fall,85.3601496725912,False
windows_all.csv,label,True,2138.0,2.0,0.0,1825.0,313.0,5.830670926517572,1,85.3601496725912,False
windows_all.csv,source,True,2138.0,4.0,0.0,783.0,445.0,1.7595505617977527,original,36.623012160898035,False
windows_all.csv,win_class,False,,,,,,,,,
windows_all.csv,win_label,False,,,,,,,,,
windows_extracted.csv,class_en,True,338.0,8.0,0.0,80.0,9.0,8.88888888888889,limping_walk,23.668639053254438,False
windows_extracted.csv,class,True,338.0,8.0,0.0,80.0,9.0,8.88888888888889,limping_walk,23.668639053254438,False
windows_extracted.csv,category,True,338.0,3.0,0.0,287.0,25.0,11.48,activity,84.91124260355029,False
windows_extracted.csv,label,True,338.0,2.0,0.0,313.0,25.0,12.52,0,92.60355029585799,False
windows_extracted.csv,source,True,338.0,1.0,0.0,338.0,338.0,1.0,original,100.0,True
windows_extracted.csv,win_class,False,,,,,,,,,
windows_extracted.csv,win_label,False,,,,,,,,,
joined_imu_windows.csv,class_en,True,1800.0,1.0,0.0,1800.0,1800.0,1.0,slow_collapse_fall,100.0,True
joined_imu_windows.csv,class,False,,,,,,,,,
joined_imu_windows.csv,category,True,1800.0,1.0,0.0,1800.0,1800.0,1.0,fall,100.0,True
joined_imu_windows.csv,label,False,,,,,,,,,
joined_imu_windows.csv,source,False,,,,,,,,,
joined_imu_windows.csv,win_class,True,1800.0,1.0,0.0,1800.0,1800.0,1.0,ล้มแบบค่อยๆทรุด,100.0,True
joined_imu_windows.csv,win_label,True,1800.0,1.0,0.0,1800.0,1800.0,1.0,1,100.0,True
merged_dataset_full.csv,class_en,True,9860.0,11.0,0.0,1631.0,203.0,8.03448275862069,limping_walk,16.54158215010142,False
merged_dataset_full.csv,class,True,9860.0,3.0,8060.0,806.0,189.0,4.264550264550264,ล้มข้าง,8.174442190669371,False
merged_dataset_full.csv,category,True,9860.0,3.0,0.0,5900.0,574.0,10.278745644599303,activity,59.83772819472617,False
merged_dataset_full.csv,label,True,9860.0,1.0,8060.0,1800.0,1800.0,1.0,1.0,18.255578093306287,True
merged_dataset_full.csv,source,True,9860.0,4.0,8060.0,455.0,445.0,1.0224719101123596,aug_axisperm,4.614604462474645,False
merged_dataset_full.csv,win_class,False,,,,,,,,,
merged_dataset_full.csv,win_label,False,,,,,,,,,
