pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p,class_en,class_th,category,src_file,n_windows_in_class,us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,nano_millis_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT,temperature_C,humidity_percent,pressure_kPa,proximity,red,green,blue,mic_mean_abs,mic_rms,mic_peak,window_start_ts,window_end_ts,session_id,class,label,source,svm_mean,svm_std,svm_max,svm_min,jerk_mean,jerk_std,jerk_max,jerk_min,KII_mean,KII_std,KII_max,KII_min,omega_mean,omega_std,omega_max,omega_min,theta_mean,theta_std,theta_max,theta_min,theta_range,jerk_energy,free_fall_n,impact_n,high_rot_n,svm_dev_mean,press_delta,mic_p2p_max,mic_p2p_mean,GSI,jerk_sparsity,angular_impulse,press_slope,hr_mean,hr_max,hr_delta,hr_spike,spo2_min,spo2_mean,rmssd,sdnn,hr_accel,osi,css_max,css_mean,fcri
2026-05-28T00:03:43.781,2516781.0,-0.9,-0.44,0.11,2.6,2.1,2.7,-31.8,49.1,19.3,101.11,36.55,0.0,1.0,1.0,1.0,3.0,NONE,84.0,570.0,slow_collapse_fall,ล้มแบบค่อยๆทรุด,fall,slow_collapse_fall_20260528_000343_class_01.csv,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28T00:03:43.823,2516821.0,-0.91,-0.43,0.12,0.9,2.0,3.9,-32.4,48.8,20.1,101.113,36.56,0.0,1.0,1.0,1.0,3.0,NONE,68.0,458.0,slow_collapse_fall,ล้มแบบค่อยๆทรุด,fall,slow_collapse_fall_20260528_000343_class_01.csv,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28T00:03:43.872,2516870.0,-0.9,-0.43,0.11,1.2,0.9,3.0,-32.1,49.5,20.0,101.114,36.57,0.0,1.0,1.0,1.0,3.0,NONE,74.0,493.0,slow_collapse_fall,ล้มแบบค่อยๆทรุด,fall,slow_collapse_fall_20260528_000343_class_01.csv,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28T00:03:43.925,2516924.0,-0.9,-0.44,0.12,0.0,0.0,3.7,-32.2,49.2,20.3,101.112,36.57,0.0,1.0,1.0,1.0,3.0,NONE,59.0,315.0,slow_collapse_fall,ล้มแบบค่อยๆทรุด,fall,slow_collapse_fall_20260528_000343_class_01.csv,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28T00:03:43.972,2516970.0,-0.91,-0.45,0.11,0.0,0.3,5.8,-32.4,49.4,21.1,101.112,36.58,0.0,1.0,1.0,1.0,3.0,NONE,31.0,186.0,slow_collapse_fall,ล้มแบบค่อยๆทรุด,fall,slow_collapse_fall_20260528_000343_class_01.csv,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28T00:03:44.022,2517020.0,-0.9,-0.45,0.1,-4.8,0.0,5.9,-31.8,49.5,20.3,101.111,36.59,0.0,1.0,1.0,1.0,3.0,NONE,48.0,350.0,slow_collapse_fall,ล้มแบบค่อยๆทรุด,fall,slow_collapse_fall_20260528_000343_class_01.csv,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28T00:03:44.072,2517070.0,-0.91,-0.45,0.12,-7.1,1.2,5.8,-31.8,50.3,20.0,101.114,36.59,0.0,1.0,0.0,1.0,2.0,NONE,40.0,260.0,slow_collapse_fall,ล้มแบบค่อยๆทรุด,fall,slow_collapse_fall_20260528_000343_class_01.csv,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28T00:03:44.124,2517122.0,-0.92,-0.42,0.12,-7.8,5.3,6.8,-31.9,50.6,19.0,101.109,36.59,0.0,1.0,0.0,1.0,2.0,NONE,40.0,237.0,slow_collapse_fall,ล้มแบบค่อยๆทรุด,fall,slow_collapse_fall_20260528_000343_class_01.csv,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28T00:03:44.172,2517170.0,-0.9,-0.43,0.12,-2.3,10.8,8.1,-31.7,51.2,18.8,101.113,36.6,0.0,1.0,0.0,1.0,2.0,NONE,31.0,189.0,slow_collapse_fall,ล้มแบบค่อยๆทรุด,fall,slow_collapse_fall_20260528_000343_class_01.csv,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28T00:03:44.223,2517222.0,-0.91,-0.45,0.15,-4.0,13.5,8.2,-31.7,51.1,19.7,101.111,36.6,0.0,1.0,0.0,1.0,2.0,NONE,33.0,186.0,slow_collapse_fall,ล้มแบบค่อยๆทรุด,fall,slow_collapse_fall_20260528_000343_class_01.csv,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
